,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,為替レート,,自動,,自動,,,,,,
,仕入れ表,仕入れ元データ,仕入れ表,,ペイメント,仕入れ表,仕入れ表,,,ペイメント,手動,,,,,売れた日の為替,,,仕入れ元データ,,,,,,手動,
同梱,カスタムラベル(SKU),Order number,仕入れ日,販売日,出金日,商品名,仕入れ金額(送料込み),販売金額,販売金額（￥）,手数料合計,広告費(PL),shopee手数料,サービス料,取引手数料,Payout金額,販売時の為替,出金時の為替（ペイオニア手数料含む）,受取金額,海外送料,手数料消費税還付,消費税還付,最終損益,利益率,売れるまでの日数,(国内)送り状番号,(SLS)送り状番号
,20260123_machida_04,260317BPCP3GP7,2026/3/17,2026/3/17,#N/A,Tamiya 1/10 Electric RC Car Series No.242 Wild Willy 2 Off-Road 58242,"¥10,569 ","₱6,284.00","¥16,715",#N/A,$0.00,#N/A,#N/A,#N/A,#N/A,2.66,#N/A,#N/A,"₱1,731.00",#N/A,¥961,#N/A,#N/A,61,2790-9317-6504,PH2683023758046
,20260115_miyawaki_sg_02,260320KK6VDGTN,2026/3/20,2026/3/20,#N/A,Ichiban Kuji Final Fantasy VII (FF7) Rebirth Cloud Strife Prize A Anime Game Figure,"¥4,999 ",SDG94.70,#VALUE!,#N/A,$0.00,#N/A,#N/A,#N/A,#N/A,2.68,#N/A,#N/A,9.98SGD,#N/A,¥454,#N/A,#N/A,14,2790-9395-1986,SG2615545605704
,20260306_machida_ph_06,260323T8G8S3AA,2026/3/23,2026/3/23,#N/A,Gundam Base Limited Sengoku Astray Gundam,"¥6,222 ","₱4,950.00","¥13,217",#N/A,$0.00,#N/A,#N/A,#N/A,#N/A,2.67,#N/A,#N/A,₱656.00,#N/A,¥566,#N/A,#N/A,3,2790-9395-1780,PH2629373745737
,20260320_machida_ph_01,260323U9K9MP6B,2026/3/23,2026/3/23,#N/A,TAMIYA 1/12 Electric RC Car Series No. 547 Midnight Pumpkin Black Edition 58547,"¥10,611 ","₱5,412.00","¥14,450",#N/A,$0.00,#N/A,#N/A,#N/A,#N/A,2.67,#N/A,#N/A,"₱1,631.00",#N/A,¥965,#N/A,#N/A,19,2790-9406-3183,PH262991962150E
,20260304_miyawaki_ph_01,260324VMC4V3GW,2026/3/24,2026/3/24,#N/A,Ichiban Kuji JoJo's Bizarre Adventure Stardust Crusaders Jotaro Kujoh MASTERLISE Prize A Anime Figure,"¥5,150 ","₱3,016.00","¥7,962",#N/A,$0.00,#N/A,#N/A,#N/A,#N/A,2.64,#N/A,#N/A,₱806.00,#N/A,¥468,#N/A,#N/A,60,2790-9478-2352,PH267985209370E
,20260123_machida_ph_04_3,2603240SGH1582,2026/3/24,2026/3/24,#N/A,Tamiya 1/10 Electric RC Car Series No.242 Wild Willy 2 Off-Road 58242,"¥13,000 ","₱6,547.00","¥17,284",#N/A,$0.00,#N/A,#N/A,#N/A,#N/A,2.64,#N/A,#N/A,"₱1,631.00",#N/A,"¥1,182",#N/A,#N/A,12,2790-9406-3065,PH2623521300673
,20260312_machida_ph_04,2603241XGT3N26,,2026/3/25,#N/A,MG 1/100 Gundam Base Limited Prize RX-78-2 Gundam Ver.3.0 [Gold Coating] Mobile Suit Gundam,仕入れ無,"₱3,064.00","¥8,120",#N/A,$0.00,#N/A,#N/A,#N/A,#N/A,2.65,#N/A,#N/A,,#N/A,#VALUE!,#N/A,#N/A,0,,
,20260312_machida_ph_04,2603241XJEJAF3,,2026/3/25,#N/A,MG 1/100 Gundam Base Limited Prize RX-78-2 Gundam Ver.3.0 [Gold Coating] Mobile Suit Gundam,仕入れ無,"₱3,064.00","¥8,120",#N/A,$0.00,#N/A,#N/A,#N/A,#N/A,2.65,#N/A,#N/A,,#N/A,#VALUE!,#N/A,#N/A,9,,
,20260325_machida_ph_01,26032543YJX906,2026/3/26,2026/3/25,#N/A,Tamiya 1/12 Electric RC Car Series No. 347 Lunch Box 2005 58347 - High-Performance Remote Control Car[Direct from Japan],"¥8,800 ","₱5,205.00","¥13,793",#N/A,$0.00,#N/A,#N/A,#N/A,#N/A,2.65,#N/A,#N/A,"₱1,456.00",#N/A,¥800,#N/A,#N/A,9,2790-9476-0825,
,20260312_machida_ph_04,2603276YGWFB6C,,2026/3/27,#N/A,MG 1/100 Gundam Base Limited Prize RX-78-2 Gundam Ver.3.0 [Gold Coating] Mobile Suit Gundam,仕入れ無,"₱3,064.00","¥8,120",#N/A,$0.00,#N/A,#N/A,#N/A,#N/A,2.65,#N/A,#N/A,,#N/A,#VALUE!,#N/A,#N/A,15,,
