,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
自動,,,,,手動,自動,手動,手動,手動,手動,手動,自動,shopee,自動
SKU,Order no.,仕入れ日,仕入れ先,仕入れ金額（送料込）,品目,商品名,付属品,状態,備考,写真,出品日,販売日,販売先,販売金額
20260415_miyawaki_ph_03_4,260424MEM5PX3F,2026/4/24,yahooフリマ,"¥6,600 ",フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,,新品,,Amazon Photos,2026/04/15,2026/4/24,shopee,"₱4,559.00"
20260410_miyawaki_ph_01_6 ,260424MU4CK94B,2026/5/1,メルカリ,"¥7,599 ",フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZED Figure,,新品,,Amazon Photos,2026/04/10,2026/4/24,shopee,"₱4,823.00"
20260324_machida_ph_02,260425P3PCW09G,2026/4/27,Joshin,"¥7,980 ",ラジコン,Authentic Tamiya 1/10 Electric RC Car Series No.336 Hornet,,新品,,Amazon Photos,2026/03/24,2026/4/25,shopee,"₱5,100.00"
20260422_machida_ph_04,260425PVU07FU5,2026/4/27,Amazon,"¥2,705 ",模型,Takara Tomy (TAKARA TOMY) Tomica Premium NISSAN SPORTS CARS 3 MODELS Collection Die-cast cars Toys For ages 6 and over,,新品,,Amazon Photos,2026/04/22,2026/4/25,shopee,"₱1,896.00"
20260409_machida_ph_01_4,260425Q4AE3JT0,2026/4/27,Amazon,"¥8,800 ",ラジコン,[Direct From Japan] 1/12 Scale Electric RC Assembly Kit: Midnight Pumpkin Metallic Special,,新品,,Amazon Photos,2026/04/09,2026/4/25,shopee,"₱6,694.00"
20260408_machida_ph_06,260426SFC8KYCV,2026/4/27,Amazon,"¥10,667 ",フィギュア,"Kaiyodo Revoltech Amazing Yamaguchi Deadpool Ver. 2.5, approximately 170mm tall",,新品,,Amazon Photos,2026/04/08,2026/4/26,shopee,"₱5,673.00"
20260407_machida_ph_07,260426T9APRBJ6,,,仕入れ無,,S.H.Figuarts ONE PIECE Monkey D. Luffy -Dawn of Adventure- Approximately 145mm ABS&PVC painted movable figure [Direct From Japan],,新品,,Amazon Photos,,2026/4/26,shopee,"₱2,258.00"
20260415_miyawaki_ph_03_3,260427U35HE3WV,2026/4/27,メルカリ,"¥7,000 ",フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,,新品,,Amazon Photos,2026/04/15,2026/4/27,shopee,"₱4,593.00"
20260402_miyawaki_ph_01_2,260427U4VMU16J,2026/4/27,yahooフリマ,"¥3,000 ",フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Hiei MASTERLIZED Prize C Figure,,新品,,Amazon Photos,2026/04/02,2026/4/27,shopee,"₱2,318.00"
20260415_miyawaki_ph_03_5,260427VHYG10XJ,2026/4/29,yahooフリマ,"¥6,250 ",フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,,新品,,Amazon Photos,2026/04/15,2026/4/27,shopee,"₱4,593.00"
20260420_ishida_ph_06,2604280ECM7W63,2026/4/28,Amazon,"¥7,160 ",フィギュア,Nendoroid Blue Archive Ajitani Hifumi Non-scale Plastic Painted Movable Figure,,新品,,Amazon Photos,2026/04/20,2026/4/28,shopee,"₱2,736.00"
20260302_machida_ph_02,2604281PAC18R0,2026/4/29,Amazon,"¥4,773 ",フィギュア,Jurassic World Hammond Collection Stegosaurus Action Figure Dinosaur Toy,,新品,,Amazon Photos,2026/03/02,2026/4/28,shopee,"₱2,908.00"
20260318_machida_ph_01_4,2604281UNMUHVN,2026/4/29,Joshin（A）,"¥11,000 ",ラジコン,Tamiya 1/10 Electric RC Car Series No.571 Porsche 911 Carrera RSR (TT-02 Chassis) On-Road 58571 [New] [Authentic] [Shipped from Japan],,新品,,Amazon Photos,2026/03/18,2026/4/28,shopee,"₱6,441.00"
20260423_miyawaki_ph_01,2604281YMEPRDD,2026/4/29,yahooフリマ,"¥4,500 ",フィギュア,Ichiban Kuji WIND BREAKER Original 5th Anniversary A Prize: Sakura Haruka Figure,,新品,,Amazon Photos,2026/04/23,2026/4/28,shopee,"₱2,800.00"
20260422_mizushima_ph_02,26042825JTS270,2026/4/29,Amazon,"¥14,960 ",腕時計,[Casio] G-SHOCK Watch [Authentic Japanese Import] GA-100BEG-1AJF Men's Black,,新品,キャンセル,Amazon Photos,2026/04/22,2026/4/28,shopee,"₱7,853.00"
20260402_miyawaki_ph_01_3,26042825W5PS13,2026/4/29,メルカリショップ,"¥2,880 ",フィギュア,chiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Hiei MASTERLIZE Prize C Figure,,新品,,Amazon Photos,2026/04/02,2026/4/28,shopee,"₱2,318.00"
20260428_miyawaki_ph_01,2604282A31K0J8,2026/4/29,メルカリ,"¥10,333 ",フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Kazuma Kuwabara MASTERLIZE Prize B Figure,,新品,,Amazon Photos,2026/04/28,2026/4/28,shopee,"₱6,433.00"
20260119_miyawaki_ph_07_3,2604282A404UG5,2026/4/30,メルカリ,"¥7,399 ",フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.2 Karasu MASTERLISE Prize B Anime Figure,,新品,,Amazon Photos,2026/01/19,2026/4/28,shopee,"₱4,228.00"
20260422_ishida_ph_01,2604282DW2V5T4,,,仕入れ無,,[BANDAI]GODZIBURST Godzilla(1954),,新品,,Amazon Photos,,2026/4/28,shopee,₱502.00
20260410_miyawaki_ph_01_7,2604293F2XAVA7,2026/4/29,yahooフリマ,"¥7,200 ",フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZE Figure,,新品,,Amazon Photos,2026/04/10,2026/4/29,shopee,"₱4,823.00"
20260422_ishida_ph_05,2604293V8AA7CN,2026/4/29,Amazon,¥730 ,模型,[BANDAI]GODZIBURST Godzilla(2016),,新品,,Amazon Photos,2026/04/22,2026/4/29,shopee,₱512.00
20260422_ishida_ph_02,2604293V8AA7CN,,,¥691 ,模型,[BANDAI]GODZIBURST Godzilla(2004),,新品,,Amazon Photos,2026/04/22,2026/4/29,shopee,₱492.00
20260423_ishida_ph_05,2604293V8AA7CN,,,¥730 ,模型,[BANDAI]GODZIBURST Mechagodzilla (1993),,新品,,Amazon Photos,2026/04/23,2026/4/29,shopee,₱513.00
20260423_ishida_ph_02,2604293V8AA7CN,,,¥694 ,模型,[BANDAI]GODZIBURST Mechagodzilla (1974),,新品,,Amazon Photos,2026/04/23,2026/4/29,shopee,₱496.00
20260423_ishida_ph_03,2604293V8AA7CN,,,"¥1,527 ",模型,[BANDAI]GODZIBURST DX:King Ghidorah (1991),,新品,,Amazon Photos,2026/04/23,2026/4/29,shopee,₱915.00
20260422_ishida_ph_01,2604293V8AA7CN,,,¥710 ,模型,[BANDAI]GODZIBURST Godzilla(1954),,新品,,Amazon Photos,2026/04/22,2026/4/29,shopee,₱502.00
20260417_miyawaki_ph_02,26042949BNDTAQ,2026/4/30,メルカリショップ,"¥4,726 ",フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament Prize B Yusuke Urameshi MASTERLISE Figure,,新品,,Amazon Photos,2026/04/17,2026/4/29,shopee,"₱2,960.00"
20260323_machida_ph_01_2,2604294VDCQRMG,2026/4/30,Joshin,"¥13,130 ",ラジコン,Tamiya 1/10 Electric RC Car Series No.662 Comical Grasshopper (WR-02CB Chassis) Off-Road 58662 【Direct from Japan】,,新品,,Amazon Photos,2026/03/23,2026/4/29,shopee,"₱7,810.00"
20260401_ishida_ph_01,2604305TPN1334,2026/4/30,yahooショッピング,"¥6,710 ",フィギュア,[Good Smile Arts Shanghai] Nendoroid Rebirth 1999 X Non-scale Plastic Painted Movable Figure,,新品,,Amazon Photos,2026/04/01,2026/4/30,shopee,"₱3,980.00"
20260420_mizushima_ph_07,26043062SXWNV3,2026/4/30,メルカリ,"¥12,000 ",プラモデル,[Gundam Base / Event Exclusive] MG 1/100 Zaku II Ver.Ka Mechanical Clear Model Kit from Mobile Suit Gundam: Char's Counterattack (Bandai Spirits),,新品,,Amazon Photos,2026/04/20,2026/4/30,shopee,"₱7,146.00"
20260402_miyawaki_ph_01_4,260430652AGS63,2026/4/30,メルカリ,"¥3,500 ",フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Hiei MASTERLIZE Prize C Figure,,新品,,Amazon Photos,2026/04/02,2026/4/30,shopee,"₱2,318.00"
20260424_ishida_ph_03,260430691B098Y,2026/4/30,Amazon,"¥9,980 ",電化製品,[Direct From Japan]YAMAHA Portable Speaker WS-B1A(B): Bluetooth / Compact / IP67-rated dust and water resistance / Ideal for wet areas and outdoor use / Clear Voice / Black,,新品,,Amazon Photos,2026/04/24,2026/4/30,shopee,"₱6,126.00"
20260324_machida_ph_03,26043077JD9Q3P,2026/5/1,Joshin,"¥10,560 ",ラジコン,Authentic Tamiya 1/10 Electric RC Car Series No.599 RAYBRIG NSX CONCEPT-GT (TT-02 Chassis) On-Road,,新品,,Amazon Photos,2026/03/24,2026/4/30,shopee,"₱7,064.00"
20260410_miyawaki_ph_01_8,2604307A2697M9,2026/5/1,メルカリ,"¥7,500 ",フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZE Figure,,新品,,Amazon Photos,2026/04/10,2026/4/30,shopee,"₱4,823.00"
20260417_miyawaki_ph_04_5,2604307FJSR8BG,2026/5/1,メルカリ（着払）,"¥14,000 ",フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,,新品,,Amazon Photos,2026/04/17,2026/4/30,shopee,"₱8,569.00"
20260415_miyawaki_ph_03_6,2604307FJSR8BG,2026/5/1,yahooフリマ,"¥6,100 ",フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,,新品,,Amazon Photos,2026/04/15,2026/4/30,shopee,"₱4,593.00"
20260407_machida_ph_07,2604307HTFAJ46,2026/5/4,ヨドバシドットコム,"¥3,570 ",フィギュア,S.H.Figuarts ONE PIECE Monkey D. Luffy -Dawn of Adventure- Approximately 145mm ABS&PVC painted movable figure [Direct From Japan],,新品,,Amazon Photos,2026/04/07,2026/4/30,shopee,"₱2,258.00"
20260406_mizushima_ph_01,260501885C2FJU,2026/5/1,駿河屋,"¥8,100 ",プラモデル,BANDAI SPIRITS MG 1/100 Gundam Base Limited GM Sniper Custom (Mobile Suit Zeta Gundam Version),,新品,,Amazon Photos,2026/04/06,2026/5/1,shopee,"₱5,205.00"
20260410_mizushima_ph_11,26050188MS2JEY,2026/5/1,楽天市場（Joshin）,"¥53,900 ",ラジコン,[Tamiya] 1/10 Electric RC Car Series No. 489 4WD Racing Buggy Avante (2011) Electric Radio Control,,新品,,Amazon Photos,2026/04/10,2026/5/1,shopee,"₱28,028.00"
20260402_miyawaki_ph_01_5,2605018JC17S1A,2026/5/1,メルカリ,"¥3,100 ",フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Hiei MASTERLIZE Prize C Figure,,新品,,Amazon Photos,2026/04/02,2026/5/1,shopee,"₱2,383.00"
20260119_miyawaki_ph_07_4,2605018JT0GPRV,2026/5/1,メルカリ,"¥6,000 ",フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.2 Karasu MASTERLISE Prize B Anime Figure,,新品,,Amazon Photos,2026/01/19,2026/5/1,shopee,"₱4,228.00"
20260417_sugahara_ph_01,2605018N91NXNR,2026/5/1,Joshin,"¥8,980 ",,Tamiya Star Unit Comical Wheelie Series No. 9 RC Lunchbox Mini (SW-01 Chassis) 57409,,新品,,Amazon Photos,2026/04/17,2026/5/1,shopee,"₱5,536.00"
20260306_machida_ph_04_2,2605018XJCEPNN,2026/5/1,Joshin,"¥25,800 ",ラジコン,Tamiya RC Special Product 1/10 Electric RC Car Super Astute 2018 Off-Road 47381,,新品,,Amazon Photos,2026/03/06,2026/5/1,shopee,"₱13,167.00"
20260413_ishida_ph_01,2605019NTEWHWA,2026/5/4,らしんばん,"¥6,290 ",フィギュア,Good Smile Company Nendoroid Teto Kasane 2.0 Non-scale Plastic Painted Movable Figure,,新品,,Amazon Photos,2026/04/13,2026/5/1,shopee,"₱3,525.00"
20260424_machida_ph_16,260501A098FT6U,2026/5/4,Amazon,"¥1,609 ",模型,[Direct From Japan] Takara Tomy (TAKARA TOMY) Plarail S-56 Mickey Mouse Speed Express Train Set – Toy for ages 3 and up,,新品,,Amazon Photos,2026/04/24,2026/5/1,shopee,"₱1,399.00"
20260420_mizushima_ph_09,260502ARNT5SNC,2026/5/5,駿河屋,"¥8,611 ",プラモデル,[Gundam Base / Event Exclusive] MG 1/100 Wing Gundam Zero EW [CROSS CONTRAST COLORS / CLEAR PURPLE] Plastic Model Kit (Bandai Spirits),,新品,,Amazon Photos,2026/04/20,2026/5/2,shopee,"₱5,921.00"
20260316_machida_ph_02,260502BAH340RF,,,仕入れ無,,Bandai MG 1/100 Gundam Epyon EW Sturm und Drang Unit Model Kit Gundam W Endless Waltz Gunpla Japan,,新品,,Amazon Photos,,2026/5/2,shopee,"₱6,302.00"
20260316_machida_ph_02,260502BAJ98GET,,,仕入れ無,,Bandai MG 1/100 Gundam Epyon EW Sturm und Drang Unit Model Kit Gundam W Endless Waltz Gunpla Japan,,新品,,Amazon Photos,,2026/5/2,shopee,"₱6,302.00"
20260417_miyawaki_ph_04_6,260502C8CA8SJC,,,仕入れ無,,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,,新品,,Amazon Photos,,2026/5/2,shopee,"₱8,569.00"
20260415_miyawaki_ph_03_7,260502CEUMYQEJ,2026/5/4,yahooフリマ,"¥6,500 ",フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,,新品,,Amazon Photos,2026/04/15,2026/5/2,shopee,"₱4,593.00"
20260422_ishida_ph_04,260502CHBHUABM,2026/5/4,Amazon,¥718 ,模型,[BANDAI]GODZIBURST Godzilla(1991),,新品,,Amazon Photos,2026/04/22,2026/5/2,shopee,₱506.00
20260428_miyawaki_ph_01_1,260503DGUE3RQ7,2026/5/4,yahooフリマ,"¥9,900 ",フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Kazuma Kuwabara MASTERLIZE Prize B Figure,,新品,,Amazon Photos,2026/04/28,2026/5/3,shopee,"₱6,433.00"
20260428_machida_ph_04,260502CKFCCNPG,2026/5/4,Joshin,"¥13,380 ",ラジコン,[Direct From Japan] Tamiya 1/10 Electric RC Car Series No. 727 Mitsubishi Pajero (CW-01 Chassis) 58727,,新品,,Amazon Photos,2026/04/28,2026/5/3,shopee,"₱7,987.00"
20260306_machida_ph_04_3,260503E0P3JU7T,,,仕入れ無,,Tamiya RC Special Product 1/10 Electric RC Car Super Astute 2018 Off-Road 47381,,新品,,Amazon Photos,,2026/5/3,shopee,"₱13,167.00"
20260417_miyawaki_ph_04_6,260503ESH9GV55,,,仕入れ無,,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,,新品,,Amazon Photos,,2026/5/3,shopee,"₱8,569.00"
20260407_machida_ph_07_2,260503F4RCAYKB,2026/5/4,ヨドバシドットコム,"¥3,570 ",フィギュア,S.H.Figuarts ONE PIECE Monkey D. Luffy -Dawn of Adventure- Approximately 145mm ABS&PVC painted movable figure [Direct From Japan],,新品,,Amazon Photos,2026/04/07,2026/5/4,shopee,"₱2,258.00"
20260407_mizushima_ph_02,260504HDKGN7ST,2026/5/5,駿河屋,"¥6,890 ",プラモデル,BANDAI SPIRITS MG 1/100 Gundam Base Limited Sengoku Astray Gundam [Metallic] Assembly Plastic Model Kit,,新品,,Amazon Photos,2026/04/07,2026/5/4,shopee,"₱5,194.00"
20260123_machida_ph_04_4,260504HMYTD3UT,2026/4/24,,"¥11,000 ",ラジコン,Tamiya 1/10 Electric RC Car Series No.242 Wild Willy 2 Off-Road 58242,,新品,,Amazon Photos,2026/01/23,2026/5/5,shopee,"₱7,234.00"
20260429_machida_ph_05,260505HSCPCX1M,,,仕入れ無,,"[Direct From Japan] Holy Stone Drone with Camera – Outdoor, Compact, Child-Friendly, Foldable, 1080p Camera, 3 Batteries, 36-Minute Flight Time, Storage Case Included, Optical Flow Mode, Trajectory Flight, Gesture Control, 2.4GHz, Mode 1/2 Switchable, Bir",,新品,,Amazon Photos,,2026/5/5,shopee,"₱5,792.00"
20260430_ishida_ph_01,260505JM6F1VYQ,2026/5/5,Amazon,¥691 ,模型,[BANDAI]GODZIBURST Rodan (1993) & Mazer Unit,,新品,,Amazon Photos,2026/04/30,2026/5/5,shopee,₱502.00
20260302_ishida_ph_02_3,260505JU5SVPSE,2026/5/5,駿河屋,"¥7,100 ",フィギュア,S.H.Figuarts Funeral of Freiren Freiren (Resale Version) Approximately 140mm PVC & ABS Painted Movable Figure TAMASHII NATIONS,,新品,,Amazon Photos,2026/03/02,2026/5/5,shopee,"₱4,336.00"
20260318_machida_ph_01_6,260505K6E2VHWN,2026/5/6,楽天市場（Joshin）,"¥8,143 ",ラジコン,Tamiya 1/10 Electric RC Car Series No.571 Porsche 911 Carrera RSR (TT-02 Chassis) On-Road 58571 [New] [Authentic] [Shipped from Japan],,新品,,Amazon Photos,2026/03/18,2026/5/5,shopee,"₱6,528.00"
20260423_machida_ph_03,260505M4AQU0PQ,2026/5/6,Amazon,"¥4,652 ",ラジコン,[Direct From Japan] Kyosho Egg Mario Kart Racing Kart R/C Bowser TV035,,新品,,Amazon Photos,2026/04/23,2026/5/5,shopee,"₱3,145.00"
20260219_machida_sg_06_2,260505M4UY0J7C,2026/5/6,楽天市場（楽天ビッグ）,"¥6,930 ",腕時計,Seiko Watch ALBA Ghibli Collaboration Model Kiki's Delivery Service,,新品,,Amazon Photos,2026/02/19,2026/5/5,shopee,SDG87.24
20260422_ishida_ph_01_2,260506NCT1CWFT,,,仕入れ無,,[BANDAI]GODZIBURST Godzilla(1954),,新品,,Amazon Photos,,2026/5/6,shopee,₱502.00
20260316_machida_ph_02,260506NGWQMQU0,2026/5/6,Amazon,"¥11,000 ",プラモデル,Bandai MG 1/100 Gundam Epyon EW Sturm und Drang Unit Model Kit Gundam W Endless Waltz Gunpla Japan,,新品,,Amazon Photos,2026/03/16,2026/5/6,shopee,"₱6,302.00"
20260428_machida_ph_04_2,260506NNBBF8W2,2026/5/6,Joshin（A）,"¥13,380 ",ラジコン,[Direct From Japan] Tamiya 1/10 Electric RC Car Series No. 727 Mitsubishi Pajero (CW-01 Chassis) 58727,,新品,,Amazon Photos,2026/04/28,2026/5/6,shopee,"₱7,987.00"
20260123_machida_ph_04_5,260506P0NT3C1P,2026/5/7,Joshin（A）,"¥11,000 ",ラジコン,Tamiya 1/10 Electric RC Car Series No.242 Wild Willy 2 Off-Road 58242,,新品,,Amazon Photos,2026/01/23,2026/5/6,shopee,"₱7,234.00"
20260407_mizushima_ph_03,260506P3GF6TSG,2026/5/7,Amazon,"¥6,936 ",プラモデル,BANDAI SPIRITS MG 1/100 Gouf Ver.2.0 [Clear Color] Gundam Base Event Limited Mobile Suit Gundam Pre-colored Plastic Model Kit,,新品,,Amazon Photos,2026/04/07,2026/5/6,shopee,"₱4,069.00"
20260408_machida_ph_08,260506P5NNJPPX,,,仕入れ無,,TAMASHII NATIONS S.H.Figuarts Star Wars Episode III: Revenge of the Sith Yoda -Classic Ver.- (STAR ​​WARS: Revenge of the Sith),,新品,,Amazon Photos,,2026/5/6,shopee,"₱4,968.00"
20260413_machida_ph_01_2,260506P9DM4K84,2026/5/7,,"¥11,000 ",ラジコン,[Direct From Japan] Tamiya 1/10 Electric RC Car Series No. 546 1/12 Lunchbox Black Edition 58546,,新品,,Amazon Photos,2026/04/13,2026/5/6,shopee,"₱6,794.00"
20260303_ishida_ph_01,260506PM13EU37,2026/5/7,Amazon,"¥5,556 ",フィギュア,GOOD SMILE COMPANY Nendoroid Goddess of Victory NIKKE Modernia Non-Scale Plastic Painted Movable Figure,,新品,,Amazon Photos,2026/03/03,2026/5/6,shopee,"₱2,955.00"
20260410_miyawaki_ph_01_9,260506PNMKBSGD,2026/4/27,yahooフリマ,"¥7,450 ",フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZE Figure,,新品,,Amazon Photos,2026/04/10,2026/5/6,shopee,"₱4,988.00"
20260428_machida_ph_04_3,260507QRRH99D0,2026/5/7,楽天市場,"¥13,600 ",ラジコン,[Direct From Japan] Tamiya 1/10 Electric RC Car Series No. 727 Mitsubishi Pajero (CW-01 Chassis) 58727,,新品,,Amazon Photos,2026/04/28,2026/5/7,shopee,"₱7,987.00"
20260422_mizushima_ph_01,260507R9W3K5RG,2026/5/8,Amazon,"¥11,880 ",腕時計,[Casio] G-SHOCK GD-010BEG-1JF Watch [Authentic Japanese Product] Made with eco-friendly materials Men's Black,,新品,,Amazon Photos,2026/04/22,2026/5/7,shopee,"₱6,318.00"
20260220_machida_ph_06,260507RR6T4XSG,2026/5/8,Amazon,"¥20,745 ",,Shimano (SHIMANO) Baitcasting Reel Dual Axis 20 Thoreum 2000HG,,新品,キャンセル,Amazon Photos,,2026/5/7,shopee,"₱10,325.00"
20260415_miyawaki_ph_03_8,260507RXJHCYU4,2026/5/8,yahooフリマ,"¥6,400 ",フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,,新品,,Amazon Photos,2026/04/15,2026/5/7,shopee,"₱4,732.00"
20260115_machida_sg_02,260508SHQMCRHA,,,仕入れ無,,Kyocera Diamond Electric Roll Knife Sharpener,,新品,,Amazon Photos,,2026/5/8,shopee,SDG60.63
 20260305_ishida_ph_05,260508UBJR0VQ7,,,,,Nendoroid Character Vocal Series 02 Kagamine Rin & Len Kagamine Len 2.0 Non-scale Plastic Painted Action Figure,,新品,,Amazon Photos,,2026/5/8,shopee,"₱3,258.00"
20260428_miyawaki_ph_01_3,260508UGBEKYC7,2026/5/12,メルカリ,"¥9,900 ",フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Kazuma Kuwabara MASTERLIZE Prize B Figure,,新品,,Amazon Photos,2026/04/28,2026/5/8,shopee,"₱6,433.00"
20260430_machida_ph_14,260508UKP105TH,,,,, [Direct From Japan] Barbie Birthday Wishes Latina Signature Dress-up Doll & House – Pretend Play – Barbie Doll – Ages 6+ – Pink – JJX78,,新品,,Amazon Photos,,2026/5/8,shopee,"₱2,773.00"
20260115_machida_sg_02,2605090PWAC64N,2026/5/12,Amazon,"¥4,514 ",日用雑貨,Kyocera Diamond Electric Roll Knife Sharpener,,新品,,Amazon Photos,2026/01/15,2026/5/9,shopee,SGD60.63
20260428_mizushima_ph_06,260508USBRFM9P,2026/5/11,Amazon,"¥2,973 ",模型,Fujimi Models 1/12 NEXT Series No. 1101 Honda Super Cub 50 Type Hello Kitty 12NX-1101,,新品,,Amazon Photos,2026/04/28,2026/5/9,shopee,"₱2,114.00"
20260422_ishida_ph_02_2,260509W2MR1XC5,2026/5/11,Amazon,¥691 ,模型,[BANDAI]GODZIBURST Godzilla(2004),,新品,,Amazon Photos,2026/04/22,2026/5/9,shopee,₱492.00
20260430_machida_ph_14,260509092U5V0C,,,,,[Direct From Japan] Barbie Birthday Wishes Latina Signature Dress-up Doll & House – Pretend Play – Barbie Doll – Ages 6+ – Pink – JJX78,,新品,,Amazon Photos,,2026/5/9,shopee,"₱2,773.00"
20260430_machida_ph_01,260509092U5V0C,,,,,[Direct From Japan] Barbie Basic You Create Kit 1 YOU CREATE BARBIE BASICS™ Neutral Kit 001 Signature BLACK Dress-up dolls & houses Pretend play Barbie dolls Ages 6+ JJX35,,新品,,Amazon Photos,,2026/5/9,shopee,"₱5,567.00"
20260410_miyawaki_ph_01_9,2605090BG4XFQ8,2026/5/12,メルカリ,"¥7,000 ",フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZE Figure,,新品,,Amazon Photos,2026/04/10,2026/5/9,shopee,"₱4,988.00"
20260430_machida_ph_04,2605090NC5QWY8,2026/5/11,Amazon,"¥9,900 ",ホビー,[Direct From Japan] Barbie Basic You Create Kit 3 YOU CREATE BARBIE BASICS™ Neutral Kit 003 Signature BLACK Dress-up dolls & houses Pretend play Barbie dolls Ages 6+ JJX37,,新品,,Amazon Photos,2026/04/30,2026/5/9,shopee,"₱4,317.00"
 20260430_machida_ph_03,2605090SBTAX9E,2026/5/11,Amazon,"¥9,900 ",ホビー,[Direct From Japan] Barbie Basic You Create Kit 2 YOU CREATE BARBIE BASICS™ Neutral Kit 002 Signature BLACK Dress-up dolls & houses Pretend play Barbie dolls Ages 6+ JJX36,,新品,,Amazon Photos,2026/04/30,2026/5/9,shopee,"₱4,312.00"
20260430_miyawaki_ph_01,2605102F69UR6Q,,,,,Ichiban Kuji JoJo's Bizarre Adventure The Gathering of STARS Last One Prize Johnny Joestar & Gyro Zeppeli MASTERLISE PLUS Figure,,新品,,Amazon Photos,,2026/5/10,shopee,"₱8,969.00"
20260507_ishida_ph_01,2605102TGSBT60,2026/5/11,Amazon,"¥11,800 ",ホビー,[HASBRO] Star Wars The Child Animatronic Edition Motorized Mandalorian Toy with Over 25 Combinations of Sounds and Movements | F1119,,新品,,Amazon Photos,2026/05/07,2026/5/10,shopee,"₱4,451.00"
20260423_machida_ph_05,26051038E45EW8,2026/5/11,Amazon,"¥30,660 ",ラジコン,[Direct From Japan] Tamiya 1/10 Electric RC Car Series No. 391 Hot Shot 2007 Off-Road 58391,,新品,,Amazon Photos,2026/04/23,2026/5/10,shopee,"₱10,626.00"
20260413_ishida_ph_01_2,2605103BVUYW9W,2026/5/12,yahooフリマ,"¥10,900 ",フィギュア,[Good Smile Company] Nendoroid Teto Kasane 2.0+Special Base Included,,新品,,Amazon Photos,2026/04/13,2026/5/10,shopee,"₱4,545.00"
20260415_miyawaki_ph_03_9,2605114J27G9EE,2026/5/12,yahooフリマ,"¥4,876 ",フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,,新品,,Amazon Photos,2026/04/15,2026/5/11,shopee,"₱4,732.00"
20260424_mizushima_ph_05,2605114U3A52Q1,2026/5/11,Amazon,"￥6,578",生活家電,"SALONIA Cordless Straightener 12mm Hair Straightener with Built-in Power Bank, Lightweight, Ideal for Bangs, Model SAL25119PK, Pink",,新品,,Amazon Photos,2026/04/24,2026/5/11,shopee,"₱3,272.00"
20260316_machida_ph_03_2,26051152J04B87,2026/5/11,Amazon,"¥7,255 ",プラモデル,Bandai (Bandai) RG 1/144 GUNDAM SIDE-F Limited RX-93FF ν Gundam Mobile Suit Gundam Counterattack Char,,新品,,Amazon Photos,2026/03/16,2026/5/11,shopee,"₱4,394.00"
20260407_mizushima_ph_06,26051154RXR9EX,2026/5/11,Amazon,"¥11,600 ",プラモデル,BANDAI SPIRITS MG 1/100 Gundam Epyon EW [CROSS CONTRAST COLORS / CLEAR WHITE] Gundam Base Event Limited Edition Pre-colored Plastic Model Kit,,新品,,Amazon Photos,2026/04/07,2026/5/11,shopee,"₱6,736.00"
20260420_ishida_ph_06_2,26051272273SJK,,,,,Nendoroid Blue Archive Ajitani Hifumi Non-scale Plastic Painted Movable Figure,,新品,,Amazon Photos,,2026/5/12,shopee,"₱2,794.00"
