,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
自動,,,,,手動,自動,手動,手動,手動,手動,手動,自動,shopee,自動
SKU,Order no.,仕入れ日,仕入れ先,仕入れ金額（送料込）,品目,商品名,付属品,状態,備考,写真,出品日,販売日,販売先,販売金額
20260325_machida_ph_01,26032543YJX906,2026/3/26,Amazon,"¥8,800 ",プラモデル,Tamiya 1/12 Electric RC Car Series No. 347 Lunch Box 2005 58347 - High-Performance Remote Control Car[Direct from Japan],,新品,,Amazon Photos,2026/03/16,2026/3/25,shopee,"₱5,205.00"
20260312_machida_ph_04,2603276YGWFB6C,,,仕入れ無,プラモデル,MG 1/100 Gundam Base Limited Prize RX-78-2 Gundam Ver.3.0 [Gold Coating] Mobile Suit Gundam,,新品,,Amazon Photos,2026/03/12,2026/3/27,shopee,"₱3,064.00"
20260316_miyawaki_ph_02,260330FRMDKXKY,2026/3/30,メルカリ,"¥2,850 ",ラジコン,Ichiban Kuji YuYu Hakusho Dark Tournament vol.3 Urameshi Yusuke MASTERLIZED Prize A Figure,,新品,,Amazon Photos,2026/03/25,2026/3/30,shopee,"₱2,733.00"
20260316_machida_ph_03,260330G026X4X1,2026/3/30,Amazon,"¥7,255 ",プラモデル,Bandai (Bandai) RG 1/144 GUNDAM SIDE-F Limited RX-93FF ν Gundam Mobile Suit Gundam Counterattack Char,,新品,,Amazon Photos,2026/02/26,2026/3/30,shopee,"₱3,987.00"
20260312_machida_ph_04,260330GCGKNUWQ,,,仕入れ無,, MG 1/100 Gundam Base Limited Prize RX-78-2 Gundam Ver.3.0 [Gold Coating] Mobile Suit Gundam,,,,Amazon Photos,2026/03/16,2026/3/30,shopee,"₱3,064.00"
20260312_machida_ph_04,260330GCHXJU83,2026/3/31,Amazon,"¥6,480 ",フィギュア,MG 1/100 Gundam Base Limited Prize RX-78-2 Gundam Ver.3.0 [Gold Coating] Mobile Suit Gundam,,新品,,Amazon Photos,2026/03/02,2026/3/30,shopee,"₱3,064.00"
20260325_machida_ph_01_2,260330GH0SJWWC,2026/3/31,Joshin,"¥7,920 ",フィギュア,Tamiya 1/12 Electric RC Car Series No. 347 Lunch Box 2005 58347 - High-Performance Remote Control Car[Direct from Japan],,新品,,Amazon Photos,2026/03/16,2026/3/30,shopee,"₱5,610.00"
20260316_ishida_ph_01,260330GQ0Q6CW0,,,仕入れ無,プラモデル,Nendoroid Character Vocal Series 03 Megurine Luka Megurine Luka 2.0 Non-Scale Plastic Painted Action Figure,,新品,,Amazon Photos,2026/02/26,2026/3/30,shopee,"₱2,991.00"
20260226_machida_ph_03,260331H4EMX4C2,2026/3/31,Amazon,"¥10,880 ",ラジコン,Authentic BANDAI SPIRITS RG 1/144 Unicorn Gundam Perfectibility Plastic Model Bandai,,新品,,Amazon Photos,2026/03/24,2026/3/31,shopee,"₱5,413.00"
20260316_miyawaki_ph_01,260331HDB9GAG9,,,仕入れ無,ラジコン,Ichiban Kuji Demon Slayer Doma Prize B Figur,,新品,,Amazon Photos,2026/03/18,2026/3/31,shopee,"₱4,820.00"
