,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,SKU（カスタムラベル）,"eBay Oder No,",アカウント,販売日,仕入日,国,MAG,販売額,仕入れ（\）,送料,ポイント加算,その他備考（追加料金等）,梱包者,発送サイト,実重g,体積重g,cm,cm,cm,商品名,仕入れ先,初回メール,領収書印刷
22,20251205_mizushima_03,01-14277-81947,signpost,2/21,2/23,オーストラリア,MAG,AUD165.22,"¥8,000","¥2,852",,追加送料合算,小栁2/26,elogi,280,83,23,9,2,【Exc+5】Panasonic Lumix DMC-FX8 Digital Compact Camera 5.0MP 3x Opt Zoom Tested,yahoo オークション,2/23,
23,20260219_mizushima_02,22-14256-70667,signpost,2/23,2/24,アメリカ,,$549.58,"¥59,700","¥16,021",,関税・手数料・返金送料合算,菅原3/3,elogi,480,1050,25,21,10,Canon PowerShot G9X Mark II 20.1MP 3x Digital Camera English Accessories TESTED,メルカリショップ,2/23,
24,20260219_mizushima_06,11-14291-58686,signpost,2/27,2/27,アメリカ,,$291.24,"¥29,070","¥7,904",,充電器別購入仕入れ合算,松本3/2,CPaSS,447,367,26,20.5,5.5,N Mint Canon PowerShot SX710 HS 20.3MP 30x English Digital Camera Charger TESTED,メルカリ/メルカリ,2/27,
25,20260226_mizushima_03,10-14295-37075,signpost,2/28,3/3,カナダ,MAG,c$454.69,"¥38,000","¥4,250",3415P,"返送送料 18,948円",小栁3/5,EMS,803,1105,26.5,20,12.5,【N Mint】OLYMPUS Tough TG-6 12MP Waterproof Digital Camera English Charger TESTED,楽天市場（リサイクル王国）,3/2,
26,20260225_mizushima_05,11-14305-47931,signpost,3/2,3/3,アメリカ,,$374.14,"¥40,560","¥9,418",,バッテリー別購入仕入合算,松本3/10,CPaSS,628,787,25.5,23.5,10.5,Nikon Coolpix S9900 Silver 16MP 30x Digital Camera English w/Accessories TESTED,yahooフリマ/楽天市場（iishop）,3/3,(Y)3/9:
27,20260119_inoue_01_2,06-14327-90712,signpost,3/5,2/12,イギリス,MAG,£216.69,"¥19,400","¥2,892",,,菅原3/6,elogi,474,1373,26,24,11,Shimano 21 SOARE XR C2000SSPG Spinning Reel JP,メルカリ,3/5,
28,K20250421_watanabe_01,02-14362-64662,signpost,3/12,3/12,メキシコ,,$128.00,"¥10,000","¥5,025",,,松本3/17,CPaSS,1636,1978,45,37,9.5,NEW Japan national football team 100th anniversary uniform limited jersey US(S),メルカリ,3/12,
29,20250221_inoue_06,12-14359-96160,tokyo.cairn,3/14,3/16,オーストラリア,MAG,AU$130.65,"¥6,800","¥2,682",,,菅原3/19,elogi,541,1320,25,24,11,Nendoroid Hatsune Miku 2.0 Action Figure #300 Character Vocal Series 01 GSC,メルカリ,3/16,
30,20260210_mizushima_04,02-14382-92536,signpost,3/16,3/16,アメリカ,,$300.00,"¥31,700","¥8,304",,,白澤3/18,CPaSS,396,546,25.5,20.5,5,Fujifilm XF1 Black 12MP 4x Zoom Digital Camera w/Accessories TESTED,メルカリショップ,3/16,
31,20251203_mogi_07,26-14363-37387,tokyo.cairn,3/19,3/20,メキシコ,,$74.40,"¥3,500","¥3,495",,,菅原3/25,CPaSS,118,726,22,22,12,Pokémon Vulpix Halloween 2022 Plush Mascot Tagged Collectible,メルカリ,3/20,
32,20240729_matsumoto_01_3,09-14391-44320,tokyo.cairn,3/20,2/12,イタリア,MAG,€175.00,"¥28,999","¥7,474",,,菅原3/25,CPaSS,1662,3249,39.5,28,23.5,S.H.MonsterArts Godzilla 2016 4th Form Night Combat Ver Shin Godzilla,メルカリ,3/23,
33,20260320_mizushima_02,26-14379-07403,signpost,3/23,3/24,韓国,,$224.86,"¥18,000","¥1,450",,,松本3/30,EMS,370,436,25.5,20.5,5,【Exc+5】Canon IXY Digital 600 / IXUS 700 Digital Camera w/Charger English TESTED,メルカリショップ,3.23,
34,20260324_mizushima_04,01-14443-02306,signpost,3/29,3/30,,,$256.22,"¥24,000",,,,,,,,,,,Exc+5 Canon PowerShot S200 Black 10.1MP 5x Digital Camera Charger English TESTED,メルカリショップ,3/30,
