,,,,,,,,
みずほ銀行　ヒストリカルデータより引用　,,,,,,https://www.mizuhobank.co.jp/market/historical/index.html,,
,,,,,,,,
,,,,,,,,
,2,3,4,5,6,7,8,9
,米ドル（＄）,英ポンド（￡）,ユーロ（€）,カナダドル,オーストラリアドル,フィリピンペソ,シンガポールドル,ブラジルレアル
,USD,GBP,EUR,CAD,AUD,PHP,SGD,BRL
2026/03/11,158.28,212.67,183.89,116.56,112.93,2.69,124.4,30.65
2026/03/12,159.05,213.02,183.66,117.01,113.59,2.68,124.66,30.85
2026/03/13,159.2,212.77,183.43,116.82,112.76,2.68,124.54,30.35
2026/03/16,159.41,211.39,182.54,116.26,111.86,2.67,124.42,29.91
2026/03/17,159.37,212.03,183.08,116.41,112.53,2.66,124.61,30.45
2026/03/18,159.21,212.64,183.59,116.3,113.17,2.67,124.71,30.66
2026/03/19,159.88,212.26,183.35,116.52,112.56,2.68,124.65,30.46
2026/03/23,159.52,212.38,184.05,116.22,111.54,2.67,124.32,30.03
2026/03/24,158.52,212.45,183.77,115.34,110.73,2.64,124.06,30.3
2026/03/25,158.68,213.12,184.53,115.37,111.06,2.65,124.28,30.32
2026/03/26,159.55,213.17,184.34,115.42,110.73,2.66,124.42,30.53
2026/03/27,159.57,212.79,183.95,115.14,109.69,2.65,123.98,30.47
2026/03/30,160.05,212.11,184.15,115.23,109.57,2.64,124.19,30.55
2026/03/31,159.93,211.09,183.44,114.85,109.74,2.63,123.83,30.45
