,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,仕入れ表,仕入れ元データ,仕入れ表,,ペイメント,仕入れ表,仕入れ表,,,ペイメント,手動,,,売れた日の為替,,,仕入れ元データ,,,,,,手動,
同梱,カスタムラベル(SKU),"eBay Oder No,",仕入れ日,販売日,出金日,商品名,仕入れ金額(送料込み),販売金額,販売金額（￥）,Total fees,広告費(PL),ebay手数料,Payout金額,販売時の為替,出金時の為替（ペイオニア手数料含む）,受取金額,海外送料,手数料消費税還付,消費税還付,最終損益,利益率,売れるまでの日数,送り状番号,備考
,"20260128_mizushima_01
",13-14156-62402,2026/1/29,2026/1/28,2026/2/4,【Exc+5】Canon PowerShot SX720 HS 20.3MP 40X Digital Camera Red Accessories TESTED,"¥35,263 ",$370.00 ,"¥56,444",$46.38,$0.00,$46.38,$323.62,152.55,156.04,"¥50,498","¥3,774 ",¥658,"¥3,206","¥15,324",27.15%,0,EM1013086211366FE0601012,
,20250821_akai_03_2,12-14171-52167,2026/2/2,2026/1/31,2026/2/4,Fujifilm Finepix F440 4.1MP 3.4x Zoom Digital Camera w/Charger From Japan,"¥7,000 ",$112.00 ,"¥17,210",$13.62,$0.00,$13.62,$98.38,153.66,156.04,"¥15,351","¥2,837 ",¥193,¥636,"¥6,344",36.86%,163,1Z70E26W0491182485,
,20260130_kimura_s_01,10-14211-89972,2026/2/9,2026/2/9,2026/2/11,MINOLTA P'S compact film camera (green) TESTED From JAPAN,"¥2,200 ",$79.00 ,"¥12,401",$10.62,$0.00,$10.62,$68.38,156.98,156.17,"¥10,679","¥5,597 ",¥151,¥200,"¥3,233",26.07%,10,EM1013086624505FE06010119E0N,
,20260119_inoue_01,19-14210-00531,2026/2/12,2026/2/11,2026/2/25,Shimano 21 SOARE XR C2000SSPG Spinning Reel New JP,"¥19,400 ",$284.00 ,"¥44,352",-$48.46,$0.00,-$48.46,$332.46,156.17,155.85,"¥51,814",キャンセル,-¥687,"¥1,764",#VALUE!,#VALUE!,46064,,
,20240729_matsumoto_01_2,19-14210-49408,2026/2/12,2026/2/11,#VALUE!,S.H.MonsterArts Godzilla 2016 4th Form Night Combat Ver Shin Godzilla,"¥28,999 ",£240.00,#VALUE!,-$32.00,$0.00,-$32.00,#VALUE!,156.17,#VALUE!,#VALUE!,キャンセル,#VALUE!,"¥2,636",#VALUE!,#VALUE!,46064,,
,20251205_mizushima_03,01-14277-81947,2026/2/23,2026/2/21,2026/2/25,【Exc+5】Panasonic Lumix DMC-FX8 Digital Compact Camera 5.0MP 3x Opt Zoom Tested,"¥8,000 ",AUD165.22,#VALUE!,$27.35,$0.00,$27.35,#VALUE!,109.45,110.25,#VALUE!,"¥2,852 ",¥274,¥727,#VALUE!,#VALUE!,78,1Z70E26W0491216751,
,20260219_mizushima_02,22-14256-70667,2026/2/24,2026/2/23,2026/2/25,Canon PowerShot G9X Mark II 20.1MP 3x Digital Camera English Accessories TESTED,"¥59,700 ",$549.58 ,"¥85,273",$70.46,$0.00,$70.46,$479.12,155.16,155.85,"¥74,671","¥16,021 ",¥998,"¥5,427","¥5,375",6.30%,4,889229885973,
,20260219_mizushima_06,11-14291-58686,2026/2/27,2026/2/27,#N/A,N Mint Canon PowerShot SX710 HS 20.3MP 30x English Digital Camera Charger TESTED,"¥29,070 ",$291.24 ,#REF!,#N/A,$0.00,#N/A,#N/A,#REF!,#N/A,#N/A,"¥7,904 ",#N/A,"¥2,643",#N/A,#N/A,8,EX1013087895010DL06020002D0D,
,20260226_mizushima_03,10-14295-37075,2026/3/3,2026/2/28,#N/A,【N Mint】OLYMPUS Tough TG-6 12MP Waterproof Digital Camera English Charger TESTED,"¥38,000 ",c$454.69,#REF!,#N/A,$0.00,#N/A,#N/A,#REF!,#N/A,#N/A,"¥4,250 ",#N/A,"¥3,455",#N/A,#N/A,2,EN504013887JP,
,20260225_mizushima_05,11-14305-47931,2026/3/3,2026/3/2,#N/A,Nikon Coolpix S9900 Silver 16MP 30x Digital Camera English w/Accessories TESTED,"¥40,560 ",$374.14 ,#REF!,#N/A,$0.00,#N/A,#N/A,#REF!,#N/A,#N/A,"¥9,418 ",#N/A,"¥3,687",#N/A,#N/A,5,EX1013088547096DL06020002C0D,
